File	Column_or_Item	Meaning	Calculation_or_Source	Notes
results/<Run>/	(directory)	Self-contained collated results for one numbered Binning run.	Generated from <Run>/ plus the matching <Condition>_Full baseline under the selected Binning data root.	Example: results/Soil_1/.
binning_results_summary.tsv	(file)	Compact master table combining scan recovery and peptide/protein gain metrics.	Joins the primary Individual/Pairwise recovery rows and the Individual-bin-size recovery rows with their corresponding distinct peptide/protein counts.	One row per analysis condition represented in the collated run.
main_partition_scan_recovery_summary.tsv	(file)	Scan recovery for the primary Individual-bin and Pairwise-bin analyses.	<Run>/<Condition>_Binning/{Group_Downstream,Pairwise_Downstream}/classical_guided_culling/classical_guided_*_reference_recovery_summary.tsv	
group_size_scan_recovery_summary.tsv	(file)	Scan recovery across tested Individual-bin sizes.	<Run>/<Condition>_Groups_<LABEL>/Group_Downstream/classical_guided_culling/classical_guided_group_reference_recovery_summary.tsv	
main_partition_peptide_protein_gains.tsv	(file)	Distinct peptide and protein counts and gains for the primary Individual and Pairwise analyses.	Counts distinct identifiers in annotated peptide/protein crosstabs from the relevant downstream output and subtracts the matching full-database distinct counts.	
group_size_peptide_protein_gains.tsv	(file)	Distinct peptide and protein counts and gains across Individual-bin sizes.	Counts distinct identifiers in annotated peptide/protein crosstabs from each size-series downstream output and subtracts the matching full-database distinct counts.	
input_manifest.tsv	(file)	Machine-readable provenance for source files used in one run's collation.	Generated by collate_binning_results.py.	Paths are stored relative to the selected Binning data root when possible.
results_guide.tsv	(file)	Run-specific quick guide to the collated output files.	Generated by collate_binning_results.py v1.4.3.	
recovery_inputs/	(directory)	Copies of the original small scan-recovery summaries used by the collator.	Copied from the numbered run's classical_guided_culling directories.	These files are copied for provenance and inspection; their metrics are validated but not recomputed by the collator.
recovery_inputs/main_individual_recovery_summary.tsv	(file)	Copied source recovery summary for the primary Individual-bin analysis.	<Run>/<Condition>_Binning/Group_Downstream/classical_guided_culling/classical_guided_group_reference_recovery_summary.tsv	
recovery_inputs/main_pairwise_recovery_summary.tsv	(file)	Copied source recovery summary for the primary Pairwise-bin analysis.	<Run>/<Condition>_Binning/Pairwise_Downstream/classical_guided_culling/classical_guided_pair_reference_recovery_summary.tsv	
recovery_inputs/group_<LABEL>_recovery_summary.tsv	(file)	Copied source recovery summary for one Individual-bin-size condition.	<Run>/<Condition>_Groups_<LABEL>/Group_Downstream/classical_guided_culling/classical_guided_group_reference_recovery_summary.tsv	
main_partition_fdr_overall_summary.tsv	(file)	Overall FDR-change statistics for the primary Individual-bin and Pairwise-bin analyses.	Reduced from the primary classic-vs-binned FDR audit tables when --include-fdr is used.	
main_partition_fdr_interval_summary.tsv	(file)	FDR-change statistics grouped by predefined full-database FDR intervals for the primary comparison.	Generated from the primary classic-vs-binned FDR audit tables when --include-fdr is used.	
main_partition_fdr_threshold_summary.tsv	(file)	Pass/fail transition counts at selected FDR thresholds for the primary comparison.	Generated from the primary classic-vs-binned FDR audit tables when --include-fdr is used.	
main_partition_fdr_manifest.tsv	(file)	Provenance and row-selection metadata for the primary FDR audit inputs.	Generated when --include-fdr is used.	
size_series_fdr_overall_summary.tsv	(file)	Overall FDR-change statistics across the Individual-bin-size series.	Reduced from size-series classic-vs-binned FDR audit tables when --include-fdr is used.	
size_series_fdr_interval_summary.tsv	(file)	FDR-change statistics grouped by predefined full-database FDR intervals for each bin size.	Generated from size-series classic-vs-binned FDR audit tables when --include-fdr is used.	
size_series_fdr_threshold_summary.tsv	(file)	Pass/fail transition counts at selected FDR thresholds for each bin size.	Generated from size-series classic-vs-binned FDR audit tables when --include-fdr is used.	
size_series_fdr_manifest.tsv	(file)	Provenance and row-selection metadata for size-series FDR audit inputs.	Generated when --include-fdr is used.	
matched_formula_peptide_protein_gains.tsv	(file)	Dataset-level peptide/protein changes after each numbered-series formula is applied only to its matched source sample and the matched corrected samples are combined.	Generated at the results root when Matched_Formula_Output is present and matched collation is not skipped.	Peptides are counted as distinct Peptide; PeptideFlanked is retained as a QC count; proteins are counted as distinct Protein.
matched_formula_input_manifest.tsv	(file)	Provenance and counting-rule audit for matched-formula peptide and protein crosstab inputs.	Generated by collate_binning_results.py from Matched_Formula_Output.	
matched_formula_results_guide.tsv	(file)	Compact guide to the matched-formula summary and manifest files.	Generated by collate_binning_results.py when matched outputs are collated.	
binning_results_summary.tsv	Dataset	Condition/environment name without the numeric run suffix.	Parsed from <Condition>_<integer>.	Examples: Fecal, Ocean, Soil.
binning_results_summary.tsv	Run	Numbered Binning run represented by the row.	Top-level numbered run directory name discovered by the collator.	Example: Soil_1.
binning_results_summary.tsv	AnalysisFamily	Analysis family represented by the row.	Pairwise for the primary Individual-bin vs Pairwise-bin comparison; size_series for the Individual-bin-size series.	This label is intentionally retained as Pairwise for the primary comparison.
binning_results_summary.tsv	PartitionStructure	Actual number and type of partitions present in the source analysis.	Counted directly from *_group_<N> or *_pair_<N>_<M> directories.	Examples: 9 groups, 36 pairs, 10 groups. This is not inferred from the recovery summary.
binning_results_summary.tsv	BinSize	Size-series label for the Individual-bin analysis; often a nominal peptide target such as 1.2M, but arbitrary labels are supported.	Parsed from <Condition>_Groups_<LABEL>.	Blank for the primary Individual/Pairwise comparison.
binning_results_summary.tsv	TotalReferenceScans	Number of full-database reference scans evaluated for recovery.	Read from TotalReferenceScans, ReferenceScans, or TotalScans in the source recovery summary.	
binning_results_summary.tsv	RecoveredScans	Reference scans recovered in at least one relevant partition.	Read from the accepted Individual- or Pairwise-recovery metric in the source recovery summary.	
binning_results_summary.tsv	UnrecoveredScans	Reference scans not recovered in any relevant partition.	Read from the accepted unrecovered metric and validated as TotalReferenceScans - RecoveredScans.	
binning_results_summary.tsv	RecoveredFraction	Fraction of reference scans recovered in at least one relevant partition.	Source recovery fraction, validated against RecoveredScans / TotalReferenceScans.	
binning_results_summary.tsv	UnrecoveredFraction	Fraction of reference scans unrecovered across all relevant partitions.	UnrecoveredScans / TotalReferenceScans.	
binning_results_summary.tsv	RecoveryPercent	RecoveredFraction expressed as a percentage.	RecoveredFraction × 100.	
binning_results_summary.tsv	LossPercent	UnrecoveredFraction expressed as a percentage.	UnrecoveredFraction × 100.	
binning_results_summary.tsv	BaselinePeptides	Distinct peptide-sequence count from the corresponding full-database analysis.	Distinct non-empty Peptide values in <Condition>_Full/peptide_crosstab_annotated.tsv.	Repeated peptide-to-protein mapping rows do not increase this count.
binning_results_summary.tsv	BaselinePeptideFlanked	Distinct flanked-peptide identifier count from the corresponding full-database analysis.	Distinct non-empty PeptideFlanked values in <Condition>_Full/peptide_crosstab_annotated.tsv.	Retained as a QC metric; distinct Peptide is the production peptide count.
binning_results_summary.tsv	BaselineProteins	Distinct protein identifier count from the corresponding full-database analysis.	Distinct non-empty Protein values in <Condition>_Full/protein_crosstab_annotated.tsv.	
binning_results_summary.tsv	CorrectedPeptides	Distinct peptide-sequence count from the corresponding partitioned/corrected downstream output.	Distinct non-empty Peptide values in protein_rollup/peptide_crosstab_annotated.tsv.	Repeated peptide-to-protein mapping rows do not increase this count.
binning_results_summary.tsv	CorrectedPeptideFlanked	Distinct flanked-peptide identifier count from the corresponding partitioned/corrected downstream output.	Distinct non-empty PeptideFlanked values in protein_rollup/peptide_crosstab_annotated.tsv.	Retained as a QC metric.
binning_results_summary.tsv	CorrectedProteins	Distinct protein identifier count from the corresponding partitioned/corrected downstream output.	Distinct non-empty Protein values in protein_rollup/protein_crosstab_annotated.tsv.	
binning_results_summary.tsv	PeptideGain	Net distinct-peptide change relative to the full-database baseline.	CorrectedPeptides - BaselinePeptides.	Positive values indicate more distinct peptide sequences; negative values indicate fewer.
binning_results_summary.tsv	PeptideFlankedGain	Net distinct flanked-peptide change relative to the full-database baseline.	CorrectedPeptideFlanked - BaselinePeptideFlanked.	QC metric.
binning_results_summary.tsv	ProteinGain	Net distinct-protein change relative to the full-database baseline.	CorrectedProteins - BaselineProteins.	Positive values indicate more distinct proteins; negative values indicate fewer.
main_partition_scan_recovery_summary.tsv	Dataset	Condition/environment name without the numeric run suffix.	Parsed from <Condition>_<integer>.	Examples: Fecal, Ocean, Soil.
main_partition_scan_recovery_summary.tsv	Run	Numbered Binning run represented by the row.	Top-level numbered run directory name discovered by the collator.	Example: Soil_1.
main_partition_scan_recovery_summary.tsv	PartitionStructure	Actual number and type of partitions present in the source analysis.	Counted directly from *_group_<N> or *_pair_<N>_<M> directories.	Examples: 9 groups, 36 pairs, 10 groups. This is not inferred from the recovery summary.
main_partition_scan_recovery_summary.tsv	TotalReferenceScans	Number of full-database reference scans evaluated for recovery.	Read from TotalReferenceScans, ReferenceScans, or TotalScans in the source recovery summary.	
main_partition_scan_recovery_summary.tsv	RecoveredScans	Reference scans recovered in at least one relevant partition.	Read from the accepted Individual- or Pairwise-recovery metric in the source recovery summary.	
main_partition_scan_recovery_summary.tsv	UnrecoveredScans	Reference scans not recovered in any relevant partition.	Read from the accepted unrecovered metric and validated as TotalReferenceScans - RecoveredScans.	
main_partition_scan_recovery_summary.tsv	RecoveredFraction	Fraction of reference scans recovered in at least one relevant partition.	Source recovery fraction, validated against RecoveredScans / TotalReferenceScans.	
main_partition_scan_recovery_summary.tsv	UnrecoveredFraction	Fraction of reference scans unrecovered across all relevant partitions.	UnrecoveredScans / TotalReferenceScans.	
main_partition_scan_recovery_summary.tsv	RecoveryPercent	RecoveredFraction expressed as a percentage.	RecoveredFraction × 100.	
main_partition_scan_recovery_summary.tsv	LossPercent	UnrecoveredFraction expressed as a percentage.	UnrecoveredFraction × 100.	
group_size_scan_recovery_summary.tsv	Dataset	Condition/environment name without the numeric run suffix.	Parsed from <Condition>_<integer>.	Examples: Fecal, Ocean, Soil.
group_size_scan_recovery_summary.tsv	Run	Numbered Binning run represented by the row.	Top-level numbered run directory name discovered by the collator.	Example: Soil_1.
group_size_scan_recovery_summary.tsv	BinSize	Size-series label for the Individual-bin analysis; often a nominal peptide target such as 1.2M, but arbitrary labels are supported.	Parsed from <Condition>_Groups_<LABEL>.	Blank for the primary Individual/Pairwise comparison.
group_size_scan_recovery_summary.tsv	PartitionStructure	Actual number and type of partitions present in the source analysis.	Counted directly from *_group_<N> or *_pair_<N>_<M> directories.	Examples: 9 groups, 36 pairs, 10 groups. This is not inferred from the recovery summary.
group_size_scan_recovery_summary.tsv	TotalReferenceScans	Number of full-database reference scans evaluated for recovery.	Read from TotalReferenceScans, ReferenceScans, or TotalScans in the source recovery summary.	
