Dataset	Run	AnalysisFamily	PartitionStructure	BinSize	TotalReferenceScans	RecoveredScans	UnrecoveredScans	RecoveryPercent	BaselinePeptides	CorrectedPeptides	PeptideGain	BaselineProteins	CorrectedProteins	ProteinGain
Fecal	Fecal_1	Pairwise	9 groups		250061	250042	19	99.99240185394764	4179	4333	154	17034	17702	668
Fecal	Fecal_1	Pairwise	36 pairs		250061	250055	6	99.99760058545716	4179	4289	110	17034	17330	296
Fecal	Fecal_1	size_series	10 groups	1.2M	250061	250041	20	99.99200195152382	4179	4376	197	17034	17776	742
Fecal	Fecal_1	size_series	21 groups	600k	250061	250051	10	99.99600097576192	4179	4407	228	17034	17854	820
Fecal	Fecal_1	size_series	41 groups	300k	250061	250058	3	99.99880029272856	4179	4450	271	17034	17937	903
Fecal	Fecal_1	size_series	82 groups	150k	250061	250060	1	99.9996000975762	4179	4469	290	17034	17978	944
Fecal	Fecal_1	size_series	164 groups	75k	250061	250061	0	100.0	4179	4567	388	17034	18203	1169
Fecal	Fecal_2	Pairwise	9 groups		253967	253951	16	99.9936999688936	4179	4380	201	17034	17785	751
Fecal	Fecal_2	Pairwise	36 pairs		253967	253961	6	99.9976374883351	4179	4288	109	17034	17329	295
Fecal	Fecal_2	size_series	10 groups	1.2M	253967	253952	15	99.99409372083775	4179	4445	266	17034	17933	899
Fecal	Fecal_2	size_series	21 groups	600k	253967	253960	7	99.99724373639096	4179	4476	297	17034	17991	957
Fecal	Fecal_2	size_series	41 groups	300k	253967	253964	3	99.99881874416756	4179	4650	471	17034	18454	1420
Fecal	Fecal_2	size_series	82 groups	150k	253967	253965	2	99.9992124961117	4179	4735	556	17034	18640	1606
Fecal	Fecal_2	size_series	164 groups	75k	253967	253965	2	99.9992124961117	4179	4590	411	17034	18250	1216
Fecal	Fecal_3	Pairwise	9 groups		250930	250921	9	99.9964133423664	4179	4349	170	17034	17718	684
Fecal	Fecal_3	Pairwise	36 pairs		250930	250926	4	99.99840592994065	4179	4291	112	17034	17341	307
Fecal	Fecal_3	size_series	10 groups	1.2M	250930	250920	10	99.99601482485156	4179	4325	146	17034	17496	462
Fecal	Fecal_3	size_series	21 groups	600k	250930	250927	3	99.99880444745548	4179	4484	305	17034	18013	979
Fecal	Fecal_3	size_series	41 groups	300k	250930	250928	2	99.99920296497032	4179	4538	359	17034	18132	1098
Fecal	Fecal_3	size_series	82 groups	150k	250930	250930	0	100.0	4179	4818	639	17034	18760	1726
Fecal	Fecal_3	size_series	164 groups	75k	250930	250930	0	100.0	4179	4812	633	17034	18745	1711
