Condition	Run	Removal_Level	Is_Baseline	Database_Peptides	Database_Peptides_Removed	Database_Fraction_Removed	Peptides_Passing	Peptides_Gained	Peptides_Lost	Net_Peptide_Change	Proteins_Passing	Proteins_Gained	Proteins_Lost	Net_Protein_Change
Fecal	Fecal	baseline	True	12302081	0	0	4179	0	0	0	17034	0	0	0
Fecal	Fecal_0.5	0.5	False	9923237	2378844	0.193369	4188	55	46	9	17064	124	94	30
Fecal	Fecal_0.6	0.6	False	11618603	683478	0.055558	4179	13	13	0	17039	19	14	5
Fecal	Fecal_0.7	0.7	False	12277023	25058	0.002037	4179	1	1	0	17035	1	0	1
Fecal	Fecal_0.8	0.8	False	12288742	13339	0.001084	4179	0	0	0	17034	0	0	0
Fecal	Fecal_0.9	0.9	False	12301619	462	0.000038	4179	0	0	0	17034	0	0	0
Fecal	Fecal_1.0	1	False	12301621	460	0.000037	4179	0	0	0	17034	0	0	0
Ocean	Ocean	baseline	True	20788421	0	0	14285	0	0	0	39884	0	0	0
Ocean	Ocean_0.5	0.5	False	15846443	4941978	0.237727	12607	290	1968	-1678	35401	602	5085	-4483
Ocean	Ocean_0.6	0.6	False	19278601	1509820	0.072628	14218	106	173	-67	39671	123	336	-213
Ocean	Ocean_0.7	0.7	False	20686783	101638	0.004889	14244	9	50	-41	39812	14	86	-72
Ocean	Ocean_0.8	0.8	False	20735630	52791	0.002539	14287	9	7	2	39886	8	6	2
Ocean	Ocean_0.9	0.9	False	20785623	2798	0.000135	14285	0	0	0	39884	0	0	0
Ocean	Ocean_1.0	1	False	20785675	2746	0.000132	14285	0	0	0	39884	0	0	0
Soil	Soil	baseline	True	13267887	0	0	2125	0	0	0	11832	0	0	0
Soil	Soil_0.5	0.5	False	10447139	2820748	0.2126	1903	20	242	-222	10772	93	1153	-1060
Soil	Soil_0.6	0.6	False	12472055	795832	0.059982	2112	9	22	-13	11801	9	40	-31
Soil	Soil_0.7	0.7	False	13230842	37045	0.002792	2123	1	3	-2	11821	1	12	-11
Soil	Soil_0.8	0.8	False	13255681	12206	0.00092	2126	1	0	1	11833	1	0	1
Soil	Soil_0.9	0.9	False	13267548	339	0.000026	2125	0	0	0	11832	0	0	0
Soil	Soil_1.0	1	False	13267548	339	0.000026	2125	0	0	0	11832	0	0	0
